ids,label,phaidra
"['https://www.wikidata.org/wiki/Q270670', 'https://viaf.org/viaf/90633023/', 'https://data.cerl.org/thesaurus/cnp01235998']",Abraham ibn ‛Ezra,https://pid.phaidra.org/vocabulary/MRXG-F5HR
"['https://www.wikidata.org/wiki/Q161740', 'https://viaf.org/viaf/78778341/', 'https://data.cerl.org/thesaurus/cnp01365811']",Gregory X,https://pid.phaidra.org/vocabulary/YX2F-W85S
"['http://viaf.org/viaf/32929955', 'https://www.wikidata.org/wiki/Q1402817', 'https://data.cerl.org/thesaurus/cnp00476988']","Melander, Otto",https://pid.phaidra.org/vocabulary/CKF4-KW0W
"['https://www.wikidata.org/wiki/Q167236', 'https://viaf.org/viaf/67257928/', 'https://data.cerl.org/thesaurus/cnp01259332']",Frederick Henry of Orange-Nassau,https://pid.phaidra.org/vocabulary/TFSM-T5Q3
"['https://viaf.org/viaf/12420076/', 'https://www.wikidata.org/wiki/Q182021', 'https://data.cerl.org/thesaurus/cnp00974420']","De'Medici, Maria",https://pid.phaidra.org/vocabulary/V7B4-87G0
"['https://viaf.org/viaf/121884477/', 'https://www.wikidata.org/wiki/Q298664', 'https://data.cerl.org/thesaurus/cnp01301980']","Roberto, Bellarmino",https://pid.phaidra.org/vocabulary/ZA2C-GKJP
[],Polheim,https://pid.phaidra.org/vocabulary/ZY20-FY0B
"['https://data.cerl.org/thesaurus/cnp01128717', 'https://d-nb.info/gnd/13354477X', 'http://viaf.org/viaf/3674160667696003560004']","Stralendorf, Leopold von",https://pid.phaidra.org/vocabulary/Y7JT-SQ5Z
"['https://data.cerl.org/thesaurus/cnp01260016', 'https://www.wikidata.org/wiki/Q44248', 'https://viaf.org/viaf/95147024/']",Jérôme,https://pid.phaidra.org/vocabulary/TR8V-VZPA
"['https://www.wikidata.org/wiki/Q939953', 'https://data.cerl.org/thesaurus/cnp01369803', 'https://viaf.org/viaf/29698295/']",Nicephorus Callistus Xanthopulus,https://pid.phaidra.org/vocabulary/QE50-G11N
"['https://viaf.org/viaf/57926778/', 'https://data.cerl.org/thesaurus/cni00039551']","Angermaria, Elisabetha",https://pid.phaidra.org/vocabulary/8WQQ-AD7K
['https://www.wikidata.org/wiki/Q347250'],Prudentius,https://pid.phaidra.org/vocabulary/S1VE-C2YF
"['https://www.wikidata.org/wiki/Q83653', 'https://data.cerl.org/thesaurus/cnp00981036']",Jahangir,https://pid.phaidra.org/vocabulary/WT80-6Z9Q
"['https://viaf.org/viaf/27092943/', 'https://data.cerl.org/thesaurus/cnp01231615', 'https://www.wikidata.org/wiki/Q434834']","Biondo, Flavio",https://pid.phaidra.org/vocabulary/GCXA-QCMX
"['https://www.wikidata.org/wiki/Q32052', 'https://data.cerl.org/thesaurus/cnp01241382']",Johannes Zonaras,https://pid.phaidra.org/vocabulary/X9QT-J7Q0
[],"Strobel, Tobias",https://pid.phaidra.org/vocabulary/MHAB-YCH0
[],"Schmaudius, Johannes",https://pid.phaidra.org/vocabulary/WEJV-Z06Z
['https://www.wikidata.org/wiki/Q1584092'],Çerkes Mehmed Pasha,https://pid.phaidra.org/vocabulary/8EMS-1WKV
[],"Überling, Wilhelm",https://pid.phaidra.org/vocabulary/NZYC-8K46
[],P. Caietanus,https://pid.phaidra.org/vocabulary/27VA-0MA9
"['https://viaf.org/viaf/54950201/', 'https://www.wikidata.org/wiki/Q7926323', 'https://data.cerl.org/thesaurus/cnp01341571']","Scialac, Victor",https://pid.phaidra.org/vocabulary/GHX7-BJNV
